nct_number,study_title,recruitment_status,brief_summary,eligibility_criteria,phase,conditions,keywords,interventions,min_age,max_age,sex,study_url,disease
NCT06938555,The RolE of Prolonged Nightly faSTing to Improve Sleep and cOgnition in bREast Cancer Survivors,RECRUITING,The investigators are interested in finding out how Prolonged Nightly Fasting (PNF) and/or health education may impact health and cancer recovery for breast cancer patients and survivors.,"Inclusion Criteria:

1. ≥18 years old
2. diagnosed with breast cancer (all stages included)
3. ≥3 months post neoadjuvant or adjuvant chemotherapy (maintenance or palliative systemic therapy is included)
4. score ≤30 or lower on the Patient Reported Outcome Measurement Information System Cognitive Function Short Form 8a (sr-CRCI)
5. able to speak/understand English
6. have access to a computer and Wi-Fi
7. live within the United States
8. Identifies as female
9. willing and able to fully participate in the study

Exclusion Criteria:

1. type 1 diabetes
2. actively enrolled in formal diet/weight loss program
3. previous bariatric surgery
4. eating disorder history
5. night shift work
6. pregnant, breast feeding, or trying to get pregnant
7. dementia, psychological, psychiatric, or neurological diagnoses
8. active brain or central nervous system disease
9. prior or current use of memory enhancing medications
10. history or current brain radiation
11. frequently fasting for 12+ hours every night

13\) history of hypoglycemia 14) depression screening on PHQ9 with a score of 20 or greater across all 9 questions OR anything other than 0 on question 9",NA,"Breast Cancer Survivor, Cancer Related Cognitive Difficulties, Sleep, Quality of Life","breast cancer, breast cancer survivor, brain fog, prolonged nightly fasting, nationwide, remote, non-invasive, health education, sleep, quality of life","Prolonged Nightly Fasting, Health Education Videos",18 Years,,ALL,https://clinicaltrials.gov/study/NCT06938555,breast cancer
NCT05601037,LymphoVenous Anastomosis to Prevent Breast Cancer Related Lymphedema,RECRUITING,"Lymphedema is defined as a chronic condition, caused by lymphostasis. A major part in the Western world consists of iatrogenic lymphedema caused by surgery to the lymph nodes of the axilla or groin. Prophylactic lymphovenous anastomosis (LVA) could be beneficial in the prevention of lymphedema of the extremities.","Inclusion Criteria:

* lymph node + breast cancer requiring dissection

Exclusion Criteria:

* previous lymphedema
* BMI \>35",NA,"Lymphedema, Breast Cancer",,Axilla dissection + Lymphovenous anastomosis,18 Years,99 Years,FEMALE,https://clinicaltrials.gov/study/NCT05601037,breast cancer
NCT06351865,Feasibility Study to Evaluate the Use of Patient Reported Complications After Digital Consent,RECRUITING,"Patient report complication data to our best knowledge has not been studied yet in electronic consent. This study is a feasibility study to assess whether patients will reliably report their complications, the quality of this reporting and whether the information provided in the consent form matches up to their experience. This data will then be used to improve the consent process and evaluate whether the Patient Initiated Follow Up (PIFU) model is effective or if it leads to underreporting of problems.","Inclusion Criteria:

* Consent form 1- Adult patients who have the capacity to consent for themselves.
* Female adult aged 18years or above
* Diagnosed with early invasive breast cancer suitable for breast conserving surgery
* Undergoing Wide Local Excision of the breast and sentinel lymph node biopsy.
* Participant must be able to fill out an electronic questionnaire or take part in a phone questionnaire.
* Participant is willing and able to give informed consent for participation in the study.

Exclusion Criteria:

* Unable to consent for themselves or do not wish to participate.
* Patients who need an interpreter.",N/A,"Breast Cancer, Complication of Surgical Procedure",,,18 Years,,FEMALE,https://clinicaltrials.gov/study/NCT06351865,breast cancer
NCT06994507,GM1 Prophylaxis for Nab-paclitaxel-associated Chemotherapy-induced Peripheral Neuropathy (CIPN) in Patients With Breast Cancer,RECRUITING,"This study is a randomized, double-blind, multicenter, placebo-controlled phase III clinical trial, aiming to evaluate the efficacy and safety of GM1 in preventing chemotherapy-induced peripheral neuropathy in breast cancer patients treated with Albumin-paclitaxel chemotherapy regimen.","Inclusion Criteria:

* Voluntarily sign the informed consent form;
* Age: 18 to 75 years old;
* Female patients with breast cancer confirmed byhistological and/or cytological diagnostic basis for breast cancer and are intended to receive adjuvant/neoadjuvant therapy with Albumin paclitaxel regimens;
* ECOG: 0-1
* Adequate organ function level
* Glycated hemoglobin (HbA1c) \< 7.0%;
* For women of childbearing potential: use effective contraceptive measures for contraception from the date of signing the informed consent form until 30 days after the last use of the investigatory drug.
* Patients can accurately record or express the occurrence and severity of peripheral neuropathy through questionnaires.

Exclusion Criteria:

* Grade ≥1 peripheral neuropathy (CTCAE grade ≥1) or any of the first 4 items of FACT/GOG-Ntx ≥1;
* There are risk factors for peripheral neuropathy (excluding peripheral neuropathy caused by chemotherapy).
* History of another malignant tumors (except breast cancer)
* Symptoms such as muscle pain in the limbs that interfere with the evaluate of peripheral neuropathy;
* Uncontrolled cardiovascular and cerebrovascular system diseases or hypertension
* Active infections that require systematic treatment, including bacteria, fungi or viruses, within one week before first study drug use; Or infectious diarrhea occurred within 4 weeks before the first study drug use;
* Hereditary abnormal glycolipid metabolism, HIV infection or known Acquired Immune Deficiency Syndrome (AIDS); Positive syphilis antibody, active hepatitis B, active hepatitis C",PHASE3,Chemotherapy-induced Peripheral Neuropathy (CIPN),,"GM1, Placebo",18 Years,75 Years,FEMALE,https://clinicaltrials.gov/study/NCT06994507,breast cancer
NCT07426809,Margin Optimisation Using Z-axis Assessment With Real-time Tomosynthesis (MOZART Study).,RECRUITING,"Breast-conserving surgery is commonly performed to remove early-stage breast cancer or ductal carcinoma in situ (DCIS). During surgery, the goal is to completely remove the tumour with a clear margin of normal tissue around it. If cancer cells are found at the edge of the removed tissue (a ""positive margin""), patients may need a second operation (re-excision). Re-excision can delay further treatment, increase patient anxiety, and increase healthcare costs.

To help assess margins during surgery, surgeons use specimen imaging. Standard practice involves two-dimensional (2D) specimen mammography, usually performed in the radiology department. This requires temporary transfer of the specimen out of the operating theatre and provides limited depth information.

The MOZART study is evaluating whether three-dimensional (3D) digital breast tomosynthesis, performed in the operating theatre using the Mozart system, improves margin assessment compared to standard 2D specimen mammography.

Patients undergoing breast-conserving surgery at Beaumont Hospital who agree to participate will be randomly assigned (like flipping a coin) to one of two groups:

Standard 2D specimen mammography (current standard practice), or

3D digital breast tomosynthesis performed in theatre.

In both groups, the operating surgeon will review the images during surgery and decide whether additional tissue needs to be removed. The final margin status will be determined by routine laboratory analysis after surgery.

The main goal of this study is to compare the rate of positive margins between the two imaging methods. Other outcomes include the need for additional surgery, operating time, and overall workflow efficiency.

The results of this study may help determine whether intraoperative 3D imaging improves surgical outcomes and reduces the need for re-excision in patients undergoing breast-conserving surgery.","Inclusion Criteria:

* Female patients

Age ≥ 18 years

Diagnosis of primary invasive breast cancer or ductal carcinoma in situ (DCIS) Planned breast-conserving surgery with curative intent No clinical or radiological evidence of distant metastatic disease at time of recruitment Able to provide written informed consent Fluent in English (spoken and written)

Exclusion Criteria:

Evidence of metastatic (stage IV) breast cancer Planned mastectomy instead of breast-conserving surgery Prior ipsilateral breast cancer surgery for the current malignancy Inability to provide informed consent Participation in another interventional study that may affect surgical margin assessment",NA,Breast Cancer,"Breast Cancer, MOZART","Standard 2D Specimen Mammography, Mozart 3D Specimen Radiography System",18 Years,,FEMALE,https://clinicaltrials.gov/study/NCT07426809,breast cancer
NCT06524895,Reiki Breast Surgery QOL Project for Women Undergoing Breast Surgery,RECRUITING,This pilot study will examine the impact of pre-operative Medical Reiki© on the psychosocial well-being and recovery of underserved women undergoing breast cancer surgery.,"Inclusion Criteria:

* Ages 18-99
* Breast Cancer Diagnosis Stage 0-III
* Undergoing unilateral or bilateral mastectomy (with or without reconstruction) within 2 weeks of recruitment
* English Speaking
* From within 50 miles of Bronx County, NY

Exclusion Criteria:

* Current, uncontrolled psychiatric co-morbidities
* Pregnant women",NA,Breast Cancer,Reiki,"Medical Reiki, Sham Reiki",18 Years,99 Years,FEMALE,https://clinicaltrials.gov/study/NCT06524895,breast cancer
NCT06649565,Prospective Validation and Application of an Artificial Intelligence-based Model for Evaluating the Efficacy of Breast Cancer Patients After Neoadjuvant Therapy,RECRUITING,"Breast cancer has become the world's number one cancer. While its therapeutic efficacy is increasing, how to achieve non-invasive evaluation of the efficacy of neoadjuvant therapy (NAT) for breast cancer patients and thus avoid surgery has become a bottleneck problem that needs to be broken through in clinical diagnosis and treatment. Existing non-invasive evaluation strategies are limited to single-center, single-modality modeling, and have problems such as low performance and poor versatility. Therefore, in the early stage of this study, multi-modality breast cancer patient data from multiple centers across the country were collected and the establishment of an artificial intelligence (AI) efficacy prediction model was preliminarily completed. On this basis, this project intends to further improve the multi-center prospective validation study of the prediction model. The research results will help solve the scientific problem of non-invasive judgment of NAT efficacy in breast cancer patients and provide a new paradigm for the research of high-performance AI diagnosis and treatment auxiliary systems applicable to multiple centers.","Inclusion Criteria:

* Patients who were treated in the above research centers between January 1, 2024 and October 31, 2025;
* ≥18 years old, female, ECOG score ≤2;
* Pathological biopsy confirmed invasive breast cancer;
* AJCC (8th edition) stage I-III;
* MRI imaging data before and after neoadjuvant therapy;
* Planned mastectomy or breast-conserving surgery after neoadjuvant therapy, and postoperative pathological information obtained.

Exclusion Criteria:

* Bilateral breast cancer, multiple lesions, or occult breast cancer;
* Poor MRI data quality;
* Patients who had received other anti-tumor treatments before enrollment;
* Patients with other malignant tumors",N/A,Breast Cancer,,no intervention,18 Years,,FEMALE,https://clinicaltrials.gov/study/NCT06649565,breast cancer
NCT04671511,Targeted Axillary Dissection (TAD) in Early-stage Node Positive Breast Cancer,RECRUITING,"RATIONALE: It is now standard for most breast cancer patients with 1-2 positive sentinel nodes to avoid completion node dissection when eligibility criteria from the American College of Surgeons Oncology Group (ACOSOG) Z0011 trial are met. The National Comprehensive Cancer Network (NCCN) recently proposed to extend this indication to patients that present with biopsy proven node positive disease if only 1 or 2 suspicious nodes are found on imaging, these positive nodes are not palpable clinically, and the other eligibility criteria from the Z0011 study are otherwise met. However, this recommendation is based on an expert consensus and no study has yet confirmed the optimal method to stage the axilla in this patient population.

PURPOSE: Evaluate the technical success rate and accuracy of sentinel node biopsy (SNB) and the potential benefits of clipping and removing the biopsy proven node using radioactive seed localisation (RSL) (SNB+RSL = Targeted Axillary Dissection (TAD)) in patients with biopsy proven positive nodes, limited nodal disease in imaging and clinically negative axillary examination.","Inclusion Criteria:

* Participants must be ≥ 18 years old.
* Participants with a clinical T1 or T2 invasive ductal or lobular breast carcinoma, regardless of estrogen/progesterone/human epidermal growth factor receptor 2 (HER2) receptor status.
* Participants with clinical (on palpation) N0 and up to two suspicious lymph nodes on axillary ultrasound.
* Participant with biopsy-proven positive axillary disease made by core needle biopsy or fine-needle aspiration.
* Participants must have an Eastern Cooperative Oncology Group (ECOG) Scale of Performance Status less than 2.
* Participants must understand, accept, and have signed the approved consent form.

Exclusion Criteria:

* Participant with previous ipsilateral axillary surgery, including sentinel lymph node biopsy.
* Participants with distant metastases.
* Participants that have had previous radiotherapy to the axillary nodes.
* Participants who received neoadjuvant therapy.
* If the injection of blue dye is planned, patients with hypersensitivity or allergy to isosulfan blue, patent blue, methylene blue or radiocolloid dye.
* Participants who are unable to provide informed consent.",NA,"Breast Cancer Female, Early-stage Breast Cancer, Lymph Node Metastases, Axillary Metastases, Sentinel Lymph Node","breast cancer, targeted axillary dissection, sentinel lymph node biopsy, clinically negative axilla, metastatic axillary lymph nodes","Targeted Axillary Dissection, Ultrasound of the axilla",18 Years,,FEMALE,https://clinicaltrials.gov/study/NCT04671511,breast cancer
NCT04282044,Study of CRX100 as Monotherapy and in Combination With Pembrolizumab in Patients With Advanced Solid Malignancies,RECRUITING,"This clinical study is an open-label, Phase 1, dose-escalation study to determine the safety, tolerability, and efficacy of the drug product produced by Administering CRX100 alone and in combination with Pembrolizumab in advanced solid malignancies. Patients will be screened and evaluated to determine whether or not they meet stated inclusion criteria. Enrolled subjects will undergo leukapheresis to enable the ex vivo generation of CRX100. Patients with non-small cell lung cancer (NSCLC), ovarian cancer, colorectal cancer, hepatocellular carcinoma (HCC), malignant melanoma (excluding uveal melanoma), gastric cancer, triple negative breast cancer, and osteosarcoma.

The study will start with monotherapy dose escalation followed by combination cohorts.","Inclusion Criteria:

Subjects must meet all the following criteria to be enrolled in this study:

1. Age ≥18 years at the time of consent.
2. Written informed consent in accordance with national, local, and institutional guidelines obtained prior to any study procedures. (Screening assessments performed prior to informed consent but within the 28-day screening window are acceptable for inclusion purposes).
3. Subjects must have histologically confirmed diagnosis of one of the following tumors: triple negative adenocarcinoma of the breast (human epidermal growth factor receptor 2 negative, estrogen receptor negative and progesterone receptor negative \[HER2-/ER-/PR-\]), adenocarcinoma of the colon or rectum, hepatocellular carcinoma (HCC), osteosarcoma, epithelial ovarian cancer, malignant melanoma, non-small cell lung cancer (NSCLC), or gastric cancer. Documentation of the diagnosis with the original pathology report, or a recent biopsy, is required.
4. Subjects must have relapsed disease or refractory disease. Subjects must have received, completed, or become intolerant of prior standard of care therapies or are not expected to derive any clinical benefit from standard of care therapies.
5. Subjects with Ovarian cancer must have received at least one prior standard of care for their relapsed or refractory disease, which must include a platinum-based regimen.
6. Subjects agree to provide fresh tumor tissue that has not been previously irradiated. If biopsy procedure is not safe to perform, then archival tumor tissue (20 slides or a tissue block) can be submitted.
7. Subjects must have iRECIST evaluable disease using computed tomography (CT) or magnetic resonance imaging (MRI) with IV contrast, with at least one measurable target lesion.
8. Subjects must have an Eastern Cooperative Oncology Group (ECOG) performance status of 0-1.
9. Subjects are expected to have a life expectancy of at least 12 weeks from the time of enrollment.
10. Adequate hematologic function at the time of screening, defined as: absolute lymphocyte count (ALC) \>500 cells/mm3, absolute neutrophil count (ANC) \>750 cells/mm3, hemoglobin \>8 g/dL, and platelet count \>50,000 cells/mm3. For subjects enrolling into the LDC cohorts, the criteria are defined as: ALC\>500 cells/mm3, ANC\>1000 cells/mm3, hemoglobin\>8g/dL, and platelet count\>100,000 cells/mm3.

    a. Hemoglobin and platelet count thresholds must be achievable without transfusion of red blood cells or platelets, or use of growth factors administered within two weeks.
11. Adequate organ function, defined as:

    1. Renal function: serum creatinine \<1.5x institutional upper limit of normal (ULN) or calculated creatinine clearance \>50 mL/min.
    2. Adequate hepatic function: total bilirubin ≤1.5x institutional ULN; aspartate aminotransferase (AST) and alanine aminotransferase (ALT) ≤2.5x institutional ULN, unless liver metastases are present, in which case it must be ≤5x ULN; International Normalized Ratio (INR) ≤1.5. For subjects with HCC, adequate hepatic function is defined as: total bilirubin ≤3x institutional upper limit of normal, AST/ALT ≤5x institutional ULN, INR ≤1.7, Child-Turcotte-Pugh score \<8.
12. Women of childbearing potential (defined as all subjects physiologically capable of becoming pregnant) must have negative serum ß-human chorionic gonadotropin (hCG) or urine pregnancy test.
13. Women of childbearing potential must agree to use highly effective methods of contraception throughout the study and for six months after the last dose of CRX100.
14. Males who have partners of childbearing potential must agree to use an effective barrier contraceptive method throughout the study and for six months after the last dose of CRX100.
15. Subjects must be willing and able to comply with all study procedures, requirements, and follow-up examinations.

Exclusion Criteria:

Subjects who meet any of the following criteria will be excluded from participation in this study:

1. Subjects with new or progressive brain metastasis. Subjects with treated brain metastases are eligible if there is no evidence of progression for at least four weeks after central nervous system-directed treatment, as ascertained by clinical examination and brain imaging (MRI or CT) during the screening period.
2. Subjects who received any chemotherapy or immunotherapies (non-cell-based therapies) or oncolytic virus therapy, radiotherapy, radiosurgery or investigational agents within three weeks of enrollment.
3. Subjects who still are experiencing Grade 2 or higher AEs from prior therapies such as surgery, radiation therapy and systemic anti-cancer therapies unless approved by sponsor.
4. Subjects who received any type of cell-based therapies within the last 12 weeks from the planned apheresis date.
5. Subjects experiencing any active infections (bacterial, viral, or fungal) for which systemic antimicrobials are required. Subjects who need prophylactic anti-viral agents that can inhibit the replication of VACV will be excluded from participating.
6. Subjects must not have history of active or symptomatic autoimmune disease or evidence of symptomatic autoimmune pneumonitis, glomerulonephritis, vasculitis, other symptomatic autoimmune disease, documented history of autoimmune disease or syndrome requiring systemic treatment in the past two years (i.e., with use of disease modifying agents, steroids or immunosuppressive agents) Exceptions are permitted for vitiligo, type I diabetes mellitus, residual hypothyroidism due to autoimmune condition requiring only hormone replacement, psoriasis not requiring systemic treatment, conditions not expected to recur in the absence of an external trigger or other conditions approved by the medical monitor.
7. Have a condition requiring systemic treatment with either corticosteroids (\>10 mg daily prednisone or equivalent) or other immunosuppressive medications within 14 days prior to apheresis, and within 14 days prior to infusion. Inhaled, intramuscular injection, or topical steroids and adrenal replacement doses (≤10 mg daily prednisone equivalents) are permitted. Stable doses of steroids are permitted for subjects with pre-treated brain metastases. Short-term (\<48 hr) steroid pretreatment for contrast allergy for imaging is permitted.
8. Known human immunodeficiency virus (HIV) infection, active chronic hepatitis B or C, life-threatening illnesses unrelated to cancer, or any serious medical or psychiatric illness that could, in the Investigator's opinion, interfere with participation in this study.
9. Pregnant or nursing an infant (subject or household contacts).
10. Clinically significant immunodeficiency (e.g., due to underlying illness and/or medication) in a subject or household contacts.
11. Have any underlying medical condition (including, but not limited to, ongoing or active infection requiring treatment, symptomatic congestive heart failure, unstable angina pectoris, or cardiac arrhythmia), psychiatric condition that, in the opinion of the Investigator, would compromise study administration as per protocol or compromise the assessment of AEs.
12. Have a history of another invasive malignancy, except for the following circumstance: individuals with a history of invasive malignancy are eligible if they have been disease free and off treatment for at least two years or are deemed by the Investigator to be at low risk for recurrence of that malignancy; individuals with the following cancers are eligible if diagnosed and treated: carcinoma in situ of the breast, oral cavity, or cervix, localized prostate cancer, or basal cell or squamous cell carcinoma of the skin. When enrolling a subject with another malignancy, the Investigator must discuss the subject with the Medical Monitor.",PHASE1,"Solid Tumor, Adult, Triple Negative Breast Cancer, Colorectal Cancer, Hepatocellular Carcinoma, Osteosarcoma, Epithelial Ovarian Cancer, Gastric Cancer, Non-small Cell Lung Cancer, Malignant Melanoma",,"CRX100 suspension for infusion, Fludarabine, Cyclophosphamide",18 Years,,ALL,https://clinicaltrials.gov/study/NCT04282044,breast cancer
NCT06475937,A Study of DM001 in Patients With Advanced Solid Tumors,RECRUITING,"The goal of this clinical trial is to find out about the safety, efficacy, and tolerability of DM001 for patients with the advanced solid tumors. DM001 is an experimental drug which is not approved by health authorities for the treatment of advanced solid tumors.

Participants will have up to 17 visits during the study.There will be up to a 4-week Screening Period followed by a treatment period that will be divided into 3-week cycles/ Participants will have 5 study visits during Cycle 1, 3 visits during Cycles 2 and 3, and 1 visit during subsequent cycles. Participants will have an End of Treatment visit 21 days (+ 7 days) after last dose of study drug and then a follow-up visit 30 days (± 7 days) after the End of Treatment visit.","Inclusion Criteria:

1. Subjects must have the ability to understand and willingness to sign a written informed consent document.
2. Subjects who have pathologically or cytologically confirmed documented metastatic/advanced breast cancer, EGFRmut or EGFRwt NSCLC, gastric cancer, gastroesophageal cancer or CRC, and have progressed on standard therapy, or intolerant to standard therapy, or no standard therapy accessible to the subjects due to any reason.
3. Subjects must be ≥18 years of age at the time of signing the informed consent form.
4. Subjects must have an Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1.
5. Has a life expectancy of ≥3 months.
6. Has measurable disease based on Response Evaluation Criteria in Solid Tumors (RECIST) version 1.1.

Exclusion Criteria:

1. Subjects have another active invasive malignancy within 5 years.
2. Current or history of a hematologic malignancy.
3. Primary central nervous system (CNS) malignancies or CNS metastases. Individuals with brain metastases can be enrolled only if treated, nonprogressive brain metastases and off high-dose steroids (\>20 mg prednisone or equivalent) for at least 4 weeks.
4. Individuals with Gilbert's disease with ≥3 × ULN.
5. Has an uncontrolled infection requiring intravenous (IV) injection of antibiotics, antivirals, or antifungals.
6. Has a medical history of clinically significant lung diseases or is suspected to have these diseases by imaging at the screening period.
7. Clinically uncontrolled intercurrent illness, including but not limit to an ongoing active infection, active coagulopathy, uncontrolled cardiovascular disease, uncontrolled immune disease, uncontrolled diabetes, uncontrolled pleural and peritoneal effusion, psychiatric illness that would limit compliance with the study requirements and other serious medical illnesses requiring systemic therapies.
8. Mean resting corrected QT interval corrected by Fridericia's formula (QTcF, QTcF=QT/\[RR\]1/3) \>470 msec obtained from triplicate 12-lead ECGs at baseline; no concomitant medications that would prolong the QT internal; no family history of long QT syndrome.
9. Known human immunodeficiency virus infection, or active hepatitis B virus (HBV), or hepatitis C virus (HCV) infection. Chronic carriers of HBV infection (hepatitis B surface antigen-positive, undetectable, or low HBV DNA) who receive prophylactic treatment during the study can be enrolled. Subjects with a history of HCV infection have completed curative antiviral treatment and HCV viral load below the limit of quantification and HCV antibody positive but HCV RNA negative due to prior treatment or natural resolution should be eligible.
10. Females who are pregnant or lactating or who intend to become pregnant during participation in the study are not eligible to participate.
11. Subjects who are of reproductive potential refuse to use effective methods of birth control during the course of participation in the study and within 120 days for both women and men of the last dose are ineligible to participate in the study.",PHASE1,"Breast Neoplasms, Carcinoma, Non-Small-Cell Lung, Solid Carcinoma",,DM001,18 Years,,ALL,https://clinicaltrials.gov/study/NCT06475937,breast cancer
NCT06856499,Cirtuvivint/Olaparib in Breast Cancer Susceptibility Gene/Homologous Recombination Deficiency Platinum Resistant Ovarian Cancer,RECRUITING,"The purpose of this study is to learn about the safety and tolerability of Cirtuvivint in combination with Olaparib in platinum resistant ovarian cancer. The study also aims to determine the recommended dose of the combination therapy.

If a participant is a good fit for the study, and they enroll in the study, they will:

* Visit the clinic often at the beginning of the study for physical exams, blood draws, vital signs, and other study and routine care procedures. After the first two months participants will visit the clinic every 28 days.
* Take the study medications, Cirtuvivint and Olaparib. Participants will take Olaparib every day. Participants will either take Cirtuvivint 5 days per week or 2 days per week.","Inclusion Criteria:

1. Provision to sign and date the consent form.
2. Stated willingness to comply with all study procedures and be available for the duration of the study.
3. Woman aged ≥18 years of age
4. Patients must have an Eastern Cooperative Oncology Group Performance Status (ECOG PS) of 0 1 or 2
5. Patients must have a confirmed diagnosis of high-grade serous or endometrioid epithelial ovarian cancer, primary peritoneal cancer, or fallopian tube cancer
6. Patients must have platinum-resistant disease defined as radiographic progression less than 6 months from last dose of most recent platinum therapy
7. Patients must have measurable disease by defined RECIST 1.1 criteria
8. Prior anticancer therapy:

   * Patients must have received at least one prior platinum-based chemotherapy regimen
   * Patients may not have received more than 3 prior lines of systemic therapy
   * Neoadjuvant +/- adjuvant therapies are considered 1 line of therapy
   * Maintenance therapy (eg, Bevacizumab, PARP inhibitors) will be considered part of preceding line of therapy (ie, not counted independently)
   * Therapy changed due to toxicity in the absence of progression will be considered part of the same line (ie, not counted independently)
   * Hormonal therapy will be counted as a separate line of therapy unless it was given as maintenance
   * Prior radiation is allowed and is not considered a line of treatment
9. Patients must have had testing for BRCA mutation (tumor or germline) and tumor HRD testing, and have been positive for one and/or the other.
10. Patients must have received a prior PARP inhibitor as either treatment or maintenance therapy
11. Patients must have adequate hematologic, liver, and kidney function as defined as:

    * Absolute neutrophil count (ANC) ≥ 1.5 x 109/L (1500/µL)
    * Platelet count ≥ 100 x 109/L (100,000 µL)
    * Hemoglobin ≥ 10.0 g/dL with no blood transfusion in the past 28 days
    * Serum creatinine ≤ 1.5 x upper limit of normal (ULN)
    * Patients must have creatinine clearance estimated of ≥51 mL/min using the Cockcroft-Gault equation or based on a 24 hour urine test
    * Aspartate aminotransferase (AST)(Serum Glutamic Oxaloacetic Transaminase (SGOT)) and alanine aminotransferase (ALT) (Serum Glutamic Pyruvate Transaminase (SGPT)) ≤ 2.5 x ULN unless liver metastases are present in which case they must be ≤ 5x ULN
    * Serum bilirubin ≤ 1.5 x ULN (patients with documented diagnosis of Gilbert syndrome are eligible if total bilirubin \< 3.0 x ULN)
    * Serum albumin ≥ 2 g/dL
12. Patients with a prior or concurrent malignancy whose natural history or treatment does not have the potential to interfere with the safety or efficacy assessment of the investigational regimen are eligible for this trial.
13. Ability to understand and the willingness to sign a written informed consent document. Participants with impaired decision-making capacity (IDMC) who have a legally-authorized representative (LAR) and/or family member available will also be eligible.

Exclusion Criteria:

1. Patients with clear cell, mucinous, sarcomatous, low grade/borderline, germ cell, or sex-cord stromal type ovarian tumor
2. Patients with platinum refractory disease as defined by those who have progressed during or within 4 weeks of receiving platinum-based therapy
3. Patients receiving any systemic chemotherapy or radiotherapy (except for palliative reasons) within 3 weeks prior to study treatment
4. Patients with myelodysplastic syndrome/acute myeloid leukemia or with features suggestive of myelodysplastic syndrome/acute myeloid leukemia.
5. Patients considered a poor medical risk due to a serious, uncontrolled medical disorder, non-malignant systemic disease or active, uncontrolled infection. Examples include, but are not limited to:

   * Uncontrolled major seizure disorder
   * Unstable spinal cord compression
   * Any psychiatric disorder that prohibits obtaining informed consent.
   * Any other concurrent infectious disease requiring IV antibiotics within 2 weeks prior to the first dose of therapy
6. Patients with clinically significant cardiac disease including, but not limited to, any of the following

   * Myocardial infarction ≤ 6 months prior to first dose
   * Uncontrolled ventricular arrhythmia, recent (within 3 months)
   * Superior vena cava syndrome
   * Unstable angina pectoris
   * Uncontrolled congestive heart failure (New York Heart Association \> class II)
   * Uncontrolled ≥ Grade 3 hypertension (per CTCAE)
   * Uncontrolled cardiac arrhythmias
7. Patients with a history of hemorrhagic or ischemic stroke within 6 months prior to enrollment
8. Patients with a history of cirrhotic liver disease (Child-Pugh Class B or C)
9. Persistent toxicities (\>/= Common Terminology Criteria for Adverse Event (CTCAE) grade 2) caused by previous cancer therapy, excluding alopecia or peripheral sensory neuropathy
10. Patients with duodenal stent or other GI disorder/defect that would interfere with absorption of oral medication

    o Includes patients unable to swallow orally administered medication and patients with gastrointestinal disorders likely to interfere with absorption of the study medication
11. Patients with known untreated or symptomatic central nervous system (CNS) metastases
12. Prior known hypersensitivity reaction to study drugs and/or any of their excipients
13. Minor or major surgical procedure within 2 weeks of starting study treatment and patients must have recovered from any effects of any major surgery.
14. Inability to comply with study and follow-up procedures
15. Patients deemed otherwise clinically unfit for clinical trial per investigators discretion.",PHASE1,"Endometrioid Ovarian Cancer, Primary Peritoneal Cancer, Fallopian Tube Cancer",,"Cirtuvivint, Olaparib",18 Years,,FEMALE,https://clinicaltrials.gov/study/NCT06856499,breast cancer
